"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_calculate_test_patch","test","2025-12-15","passed","2025-12-15","TotalTest","unittest_mock_total_test","",""
"","0","test_calculate_total_patch_decorator","test","2025-12-15","passed","2025-12-15","TotalTest","unittest_mock_total_test","",""
"","0","test_calculate_total","test","2025-12-15","passed","2025-12-15","","pytest_mock_total_test","",""
"","0","test_alert_fast","test","2025-12-15","passed","2025-12-15","TestOdometer","odometer_test","",""
"","1","test_calculate_total_patch","test","2025-12-15","passed","2025-12-15","","pytest_mock_total_test","",""
"","1","test_multiply_values","test","2025-12-15","passed","2025-12-15","","pytest_mock_total_test","",""
"","1","test_multiply_values","test","2025-12-15","passed","2025-12-15","TotalTest","unittest_mock_total_test","",""
"","0","test_negative_check_side_effect","test","2025-12-15","passed","2025-12-15","","pytest_mock_total_test","",""
"","0","test_odometer","test","2025-12-15","passed","2025-12-15","TestOdometer","odometer_test","",""
"","0","test_negative_check_side_effect","test","2025-12-15","passed","2025-12-15","TotalTest","unittest_mock_total_test","",""
"","0","test_calculate_total","test","2025-12-15","passed","2025-12-15","TotalTest","unittest_mock_total_test","",""
"","1","test_alert_slow","test","2025-12-15","passed","2025-12-15","TestOdometer","odometer_test","",""
